date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Free Cash Flow,Normalized EBITDA,Gross Profit,Net Income,Basic EPS
2020-10-19,213.6995153555453,215.52219993798118,207.20379757758954,207.6885528564453,27625800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-20,209.22039960619958,210.74252362224505,206.59301925590927,208.10545349121094,22753500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-21,206.62208432922537,210.30622738947594,206.62208432922537,208.25086975097656,22724900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-22,207.40736768794375,209.4724297224016,205.24536348264655,208.33810424804688,22351500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-23,208.4738583319192,209.685746554001,206.66087828562314,209.63726806640625,18879600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-26,207.32984854736196,209.74392048303207,201.75516257531544,203.67478942871094,37111600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-27,205.13876239811086,208.12485708473065,203.91718426004056,206.74815368652344,36700300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-28,201.3382754699336,202.47260115835965,195.93810882707314,196.5004119873047,51195600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-29,197.8479888480493,201.0376714649113,197.16931975234934,198.47816467285156,31432600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-30,197.29539337108227,198.06130018262078,193.53368777090432,196.2967987060547,36953700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-02,198.0613041750264,199.02112494726498,194.01844694808437,196.16107177734375,30842200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-03,197.67352732054064,201.7745532586275,196.92699997224065,200.13607788085938,27512000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-04,207.49462344566717,211.6635211946077,205.94340086211326,209.7923583984375,42311800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-05,215.2701368417257,217.28672075607113,214.40727296047987,216.48202514648438,36080100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-06,215.4833579141166,217.51933549897058,211.38233341191162,216.8988494873047,25231900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-09,217.59694107616028,221.16473264950838,211.2369545020658,211.7313995361328,44395000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-10,207.96001316387864,209.89903426563976,203.32575391415418,204.576416015625,44045100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-11,205.91434238087555,211.39207099801328,205.7301330118593,209.947509765625,29440800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-12,210.58739094777843,212.42945505675118,207.921236962206,208.87135314941406,21593900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-13,209.76330126008867,210.79098006666572,207.6303810284212,209.90872192382812,18621100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-16,208.31870523913477,211.10121028466358,207.9793854584496,210.60675048828125,24953300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-17,209.51123080340685,211.04304441774642,207.55281539665899,207.92123413085938,24154100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-18,207.67822675190513,209.1557451276508,205.03425274574468,205.18006896972656,28372800,0.56,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-19,205.4716807514227,207.07555534366801,204.06219812105772,206.48260498046875,24792700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-20,206.26877504452392,207.32830479312497,204.13027041614595,204.50936889648438,22843100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-23,205.05368476425178,206.3562265543922,202.34167522613635,204.23716735839844,25683500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-24,203.7316872975853,208.26143788436383,203.02209588630535,207.88233947753906,33979700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-25,209.09738975641886,209.27235139732045,206.52146671679677,207.8920440673828,21012900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-27,208.8447123141211,210.22501997367536,208.05734024518313,209.21408081054688,14512200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-11-30,208.115662353781,208.75720331495413,204.9467736461141,208.0865020751953,33064800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-01,208.51417697287104,211.24564648433534,207.38661166864134,210.1666717529297,30904500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-02,208.8738642416254,209.44736951053503,206.85200082851264,209.35015869140625,23724500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-03,208.6113928103264,210.3319233331733,207.67821943947914,208.25173950195312,25120900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-04,208.232291449239,209.35987159709683,207.22135240899152,208.36837768554688,24666000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-07,208.37808916746255,209.51538444351542,207.03667195668297,208.30032348632812,24620000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-08,207.98927134726114,210.8859724570092,206.93945692181242,209.9722442626953,23284100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-09,209.14602848892144,209.21406419379784,205.30643860136234,205.87994384765625,32440600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-10,205.85077263513233,207.1241541535069,204.48018030662604,204.63571166992188,26733300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-11,204.17887981408902,207.35748395423676,203.26515145074526,207.2991485595703,30979400,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-14,207.14358491399634,210.1666569790436,206.92973301236964,208.21282958984375,28798400,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-15,209.155730093286,209.39874228349973,206.30763434347875,208.14480590820312,27000600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-16,208.7474538008984,213.95763531327162,208.71829352711327,213.1508331298828,35023300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-17,213.72439109302908,214.7158851435375,211.82889866726995,213.28697204589844,32515800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
